#key	name	year	genre	developer	players
Mirai Shounen Conan - Digital Library (Japan)	Mirai Shounen Conan - Digital Library	1995	Puzzle	Bandai Visual	1
Montana Jones (Japan)	Montana Jones	1995	Adventure	Future Pirates	1
Moon Cradle - Igyou no Hanayome (Japan)	Ida Jiyouji Nightmare Interactive : Moon Cradle - Igyou No Hanayome	1995	Adventure / Interactive Movie/Adventure	TOSE	1
Murphy da yo Zen'in Shuugou!! (Japan) (En,Ja)	Murphy Da Yo Zen'in Shuugou!!	1994	Educational	Vantan International	1
Myst (USA)	Myst	1995	Adventure	Micro Cabin	1
N.O.B. (Neo Organic Bioform) (Japan)	N.O.B. : Neo Organic Bioform	1995	Role Playing Game	Octagon Entertainment	1
Naoko to Hide-bou - Kanji no Tensai 1 - Bushu-hen, Bushu no Namae ga Tanoshii Chou Kioku-hou (Japan)	Naoko To Hide Bou - Kanji No Tensai 1	1995	Educational	Gakuman	1
Naoko to Hide-bou - Sansuu no Tensai 2 - Hayasa no Bunshoudai Tsuukasan Part I (Japan)	Naoko To Hide Bou : Kanji No Tensai 2	1995	Educational	Gakuman	1
Nemurenu Yoru no Chiisana Ohanashi (Japan)	Nemurenu Yoru no Chīsana Ohanashi	1994	Adventure	Fun Project	1
NeuroDancer - Journey into the Neuronet! (USA)	NeuroDancer	1994	Adventure/Adults	Electric Dreams Software	1
NFL Madden Football (Japan)	John Madden Football	1994	Sports / Football (American)/Sports	High Score Productions	2
Nice Body - For Professional Use (Japan)	Nice Body All-Star Suiei Taikai	1995	Casino	BrainBusters	1
Night Trap (USA, Europe) (Disc 1)	Night Trap	1994	Adventure	Digital Pictures	1
Nishimura Kyoutarou Travel Mystery - Akugyaku no Kisetsu - Tokyo ~ Nanki-Shirahama Renzoku Satsujin Jiken (Japan) (Disc 1)	Nishimura Kyoutarou Travel Mystery : Akugyaku No Kisetsu	1994	Adventure	Pack-In-Video	1
Nobunaga no Yabou - Haouden (Japan)	Nobunaga No Yabou : Haouden	1994	Strategy	Koei	1
Nontan to Issho - Hoshi no Okurimono (Japan)	Nontan To Issho : Hoshi No Okurimono	1995	Educational	Victor Entertainment	1
Nontan to Issho - Nohara de Asobo (Japan)	Nontan To Issho : Nohara De Asobo	1994	Educational	Victor Entertainment	1
Nova-Storm (Japan)	Novastorm	1994	Shoot'em Up	Psygnosis	1
Novastorm (USA)	Novastorm	1994	Shoot'em Up	Psygnosis	1
Oceans Below (USA)	Oceans Below	1995	Educational/Adventure	Amazing Media	1
Off-World Interceptor (USA, Europe)	Off-World Interceptor	1994	Racing, Driving	Crystal Dynamics	1-2
Olympic Games (Europe) (Demo)	Olympic Summer Games : Atlanta 1996	1996	Sports / Multisports/Sports	Silicon Dreams	1-8
Olympic Soccer (USA) (En,Fr,De,Es,It)	Olympic Soccer	1996	Sports/Sports / Football (Soccer)	Silicon Dreams	1
Olympic Summer Games (USA)	Olympic Summer Games : Atlanta 1996	1996	Sports / Multisports/Sports	Silicon Dreams	1-8
Oneesan to Issho! Janken Paradise (Japan)	Onee-san To Isshoo! Shanken Paradise	1994	Adults	V.I.P.	1
Oneesan to Issho! Kisekae Paradise (Japan)	Oneesan to Issho! Kisekae Paradise	1995	Adults	B.S.S.	1
Orbatak (USA) (Arcade CD-ROM)	Orbatak				
Oukoku no Grand Chef (Japan)	Oukoku No Grand Chef	1996	Role Playing Game	Sala International	1
Out of This World (USA)	Out of this World	1994	Adventure	Interplay	1
Outer World (Japan)	Out of this World	1994	Adventure	Interplay	1
Oyaji Hunter Mahjong (Japan)	Oyaji Hunter Mahjong	1995	Mahjong/Asiatic board game	WARP	1
Paddock Note '95 (Japan)	Paddock Note '95	1995	Build And Management/Simulation	Scitron	1
Panzer General (USA, Germany)	Panzer General	1995	Strategy	Strategic Simulations	1
PaTaank (USA, Europe)	PaTaank	1994	Pinball	PF Magic	1-4
Pebble Beach Golf Links (USA, Korea)	Pebble Beach Golf Links	1994	Sports / Golf/Sports	T&E Soft	1-4
Penthouse Interactive - Virtual Photo Shoot Vol. 1 (Japan)	Penthouse Interactive - Virtual Photo Shoot Vol. 1	1994	Adults	Gaga Communications	1
Perfect General, The (USA)	The Perfect General	1996	Strategy	Game Guild	1
Perfect World - Combat in a Digital World (Japan)	Immercenary	1995	Shooter / FPV/Shooter	Five Miles Out	1
Peter Frankl - Puzzle no Tou (Japan)	Peter Frankel : Puzzle No Tou	1995	Puzzle	TBS	1
PGA Tour 96 (USA) (RE-1)	PGA Tour 96	1995	Sports / Golf/Sports	NuFX	1-4
Phoenix 3 (USA)	Phoenix 3	1995	Platform / Shooter Scrolling/Platform	Gray Matter	1
Plumbers Don't Wear Ties (USA)	Plumbers Don't Wear Ties	1994	Adventure	United Pixtures	1
PO'ed (USA, Europe)	PO'ed	1995	Shooter / FPV/Shooter	Any Channel	1
Policenauts (Japan) (Disc 1)	Policenauts	1995	Adventure / Point and Click/Adventure	Konami	1
Policenauts - Pilot Disk (Japan)	Policenauts	1995	Adventure / Point and Click/Adventure	Konami	1
Powers Kingdom (Europe)	Guardian War	1994	Role Playing Game	Micro Cabin	1
Pretty Soldier SailorMoon S (Japan)	Pretty Soldier Sailor Moon S	1995	Fighting	TOSE	1-2
Primal Rage (USA, Europe)	Primal Rage	1995	Fighting	Probe Entertainment	1-2
Princess Maker 2 (Japan)	Princess Maker 2	1995	Role Playing Game	Gainax	1
Pro Stadium (Japan)	Pro Stadium	1995	Sports / Baseball/Sports	Workman	1
Pro Yakyuu Virtual Stadium - Professional Baseball (Japan)	Pro Yakyuu Virtual Stadium : Professional Baseball	1995	Sports / Baseball/Sports	Extended Play Productions	1
Psychic Detective (USA) (Disc 1)	Psychic Detective	1995	Adventure	Colossal Pictures	1-2
Puppet Tale (Japan)	Puppet Tale	1994	Adventure	Micro Cabin	1
Putt-Putt Goes to the Moon (USA)	Putt-Putt Goes to the Moon	1994	Educational	Humongous Entertainment	1
Putt-Putt Joins the Parade (USA)	Putt-Putt Joins the Parade	1993	Educational	Humongous Entertainment	1
Putt-Putt's Fun Pack (USA, Korea)	Putt-Putt's Fun Pack	1994	Adventure/Educational	Humongous Entertainment	1
Puzzle Bobble (Japan)	Bust-A-Move	1995	Puzzle / Throw/Puzzle	Micro Cabin	1
Pyramid Intruder (Japan)	Pyramid Intruder	1995	Shoot'em Up	High Tech Laboratory	1
Quarantine (USA) (En,Fr,De,Es) (RE)	Quarantine	1994	Racing, Driving	Imagexcel	1
Quarterback Attack (USA)	Quarterback Attack with Mike Ditka	1995	Sports / Baseball/Sports	Digital Pictures	1
Real Pinball (USA)	Real Pinball	1994	Pinball	Japan DataWorks	1
Return Fire (USA)	Return Fire	1995	Strategy	Silent Software	1-2
Return Fire - Maps O' Death (USA)	Return Fire : Maps O' Death	1995	Strategy	Silent Software	1-2
Rise of the Robots (USA)	Rise Of The Robots	1995	Fighting	Art Data Interactive	1-2
Road & Track Presents - OverDrivin' (Japan)	Road & Track Presents : The Need for Speed	1994	Racing, Driving	Electronic Arts	1
Road & Track Presents - The Need for Speed (USA, Europe)	Road & Track Presents : The Need for Speed	1994	Racing, Driving	Electronic Arts	1
Road Rash (USA)	Road Rash	1994	Racing, Driving/Motorcycle race TPV	New Level Software	1
Robinson's Requiem (USA)	Robinson's Requiem	1996	Role Playing Game	Silmarils	1
Royal Pro Wrestling - Jikkyou Live!! (Japan)	Royal Pro Wrestling: Jikkyō Live!!	1996	Sports / Wrestling/Sports	Natsume	1-2
