#key	name	year	genre	developer	players
Tom - Der Maximagier (Germany) (En,Fr,De)	Tom : Magic Picture Show	1991	Educational	Hatier	1
Tom - Il Dizionario Magico (Italy) (En,Fr,It)	Tom : Magic Picture Show	1991	Educational	Hatier	1
Tom - Magic Picture Show (Europe) (En,Fr,Es)	Tom : Magic Picture Show	1991	Educational	Hatier	1
TR-I - No World Order (USA)	Tr-i No World Order	1993	Music and Dancing	Alchemedia Productions	1
Ultimate Noah's Ark, The (USA)	Ultimate Noah's Ark, The	1994	Educational	Philips Interactive Media	1
Ultra CD-i Soccer (Europe)	Ultra Cd-i Soccer	1997	Sports / Football (Soccer)/Sports	Krisalis Software	1-2
Uncover featuring Tatjana (Europe)	Uncover Featuring Tatjana	1996	Adults	SPC Vision B.V.	1
USA '94 World Cup (Europe)	USA '94 World Cup	1994	Sports / Football (Soccer)/Sports	Tiertex	1-2
Usine aux Crayons, L' (France)	Crayon Factory, The	1995		Philips Sidewalk Studio	1
Vegas Girls (Europe)	Vegas Girls	1995	Adults	Telstar	1
Video Speedway - Grand Prix (France)	Video Speedway	1992	Racing, Driving	ISG Productions	1-4
Video Speedway - The Ultimate Racing Experience (USA)	Video Speedway	1992	Racing, Driving	ISG Productions	1-4
Voetbal (Netherlands)	Voetbal	1994	Singing/Music and Dancing	CODIM Interactive Media	1
Voyeur (USA)	Voyeur	1983	Adventure / Interactive Movie/Adventure	Philips P.O.V. Entertainment Group	1
Voyeur ...Don't Get Caught (Europe)	Voyeur	1983	Adventure / Interactive Movie/Adventure	Philips P.O.V. Entertainment Group	1
Voyeur ...Lass Dich Nicht Erwischen! (Germany)	Voyeur	1983	Adventure / Interactive Movie/Adventure	Philips P.O.V. Entertainment Group	1
Wacky World of Miniature Golf with Eugene Levy, The (USA)	The Wacky World Of Miniature Golf With Eugene Levy	1993	Sports / Golf/Sports	Philips Sidewalk Studio	1-4
Whack a Bubble (Europe)	Whack A Bubble	1997	Action / Breakout games/Action	New Frontier Entertainment	1-2
Who Shot Johnny Rock (USA)	Who Shot Johnny Rock?	1995	Shooter / FPV/Shooter	American Laser Games	1
Wimbledon Challenge (Europe) (En,Ja,Fr,De,Es,It)	Wimbledon Challenge - The Official Wimbledon Quiz Game	1993	Quiz	Icontact	1-2
Wordplay (Europe)	Wordplay	1994	Puzzle	BEPL	2-4
World Cup Golf (Europe) (En,Fr,De)	World Cup Golf : Hyatt Dorado Beach	1995	Sports / Golf/Sports	U.S. Gold	1
Wuzzo Goes on Holiday (Europe) (Proto) (1994-02-23)	Wuzzo Goes On Holiday				
Zelda - De Toverstaf van Gamelon (Netherlands)	Zelda: The Wand of Gamelon	1993	Action / Adventure/Action	Animation Magic	1
Zelda - Der Zauberstab von Gamelon (Germany)	Zelda: The Wand of Gamelon	1993	Action / Adventure/Action	Animation Magic	1
Zelda - The Wand of Gamelon (USA)	Zelda: The Wand of Gamelon	1993	Action / Adventure/Action	Animation Magic	1
Zelda's Adventure (Europe)	Zelda's Adventure	1995	Action / Adventure/Action	Viridis	1
Zenith (Europe)	Zenith	1997	Pinball	Radarsoft	1-4
Zombie Dinos de la Planete Zeltoide (France)	Zombie Dinos From Planet Zeltoid	1992	Educational	Philips Interactive Media	1
Zombie Dinos from Planet Zeltoid (USA)	Zombie Dinos From Planet Zeltoid	1992	Educational	Philips Interactive Media	1
Zombie Dinos van de Planeet Zeltoid (Netherlands)	Zombie Dinos From Planet Zeltoid	1992	Educational	Philips Interactive Media	1
Zombie Dinos vom Planeten Zeltoid (Germany)	Zombie Dinos From Planet Zeltoid	1992	Educational	Philips Interactive Media	1
